"","area","fleet","Year","Total","Total.mean","TotalVar","TotalLCI","TotalUCI","Total.se","Total.cv"
"1","N","1","1990",1247.34283875663,NA,NA,NA,NA,NA,NA
"2","N","1","1991",1508.08721182481,NA,NA,NA,NA,NA,NA
"3","N","1","1992",1449.94559532939,NA,NA,NA,NA,NA,NA
"4","N","1","1993",1496.21924940325,NA,NA,NA,NA,NA,NA
"5","N","1","1994",1496.14389185084,NA,NA,NA,NA,NA,NA
"6","N","1","1995",1423.57002921308,NA,NA,NA,NA,NA,NA
"7","N","1","1996",1552.71603875372,NA,NA,NA,NA,NA,NA
"8","N","1","1997",1448.82574102876,NA,NA,NA,NA,NA,NA
"9","N","1","1998",905.543149088033,NA,NA,NA,NA,NA,NA
"10","N","1","1999",1084.74994422746,NA,NA,NA,NA,NA,NA
"11","N","1","2000",937.362906149577,NA,NA,NA,NA,NA,NA
"12","N","1","2001",1009.06463976629,NA,NA,NA,NA,NA,NA
"13","N","1","2002",758.557192509319,NA,NA,NA,NA,NA,NA
"14","N","1","2003",660.163090993644,NA,NA,NA,NA,NA,NA
"15","N","1","2004",751.366548171442,NA,NA,NA,NA,NA,NA
"16","N","1","2005",443.775087512565,NA,NA,NA,NA,NA,NA
"17","N","1","2006",321.503006808075,NA,NA,NA,NA,NA,NA
"18","N","1","2007",195.635949737641,NA,NA,NA,NA,NA,NA
"19","N","1","2008",345.310146794166,NA,NA,NA,NA,NA,NA
"20","N","1","2009",462.403509888721,NA,NA,NA,NA,NA,NA
"21","N","1","2010",301.824665865495,NA,NA,NA,NA,NA,NA
"22","N","1","2011",308.338249601727,NA,NA,NA,NA,NA,NA
"23","N","1","2012",290.758946176961,NA,NA,NA,NA,NA,NA
"24","N","1","2013",208.947878631467,NA,NA,NA,NA,NA,NA
"25","N","1","2014",141.303115463548,NA,NA,NA,NA,NA,NA
"26","N","1","2015",123.774599935126,NA,NA,NA,NA,NA,NA
"27","N","2","1990",8020.69431026071,NA,NA,NA,NA,NA,NA
"28","N","2","1991",8752.3312636772,NA,NA,NA,NA,NA,NA
"29","N","2","1992",6774.99432901306,NA,NA,NA,NA,NA,NA
"30","N","2","1993",9359.63180820801,NA,NA,NA,NA,NA,NA
"31","N","2","1994",8938.68307832159,NA,NA,NA,NA,NA,NA
"32","N","2","1995",9026.72291594219,NA,NA,NA,NA,NA,NA
"33","N","2","1996",12188.9814656017,NA,NA,NA,NA,NA,NA
"34","N","2","1997",11600.9843744149,NA,NA,NA,NA,NA,NA
"35","N","2","1998",9479.55733558117,NA,NA,NA,NA,NA,NA
"36","N","2","1999",9325.52007430256,NA,NA,NA,NA,NA,NA
"37","N","2","2000",9450.52102975932,NA,NA,NA,NA,NA,NA
"38","N","2","2001",9571.83663234076,NA,NA,NA,NA,NA,NA
"39","N","2","2002",6625.81533380279,NA,NA,NA,NA,NA,NA
"40","N","2","2003",5711.63857217739,NA,NA,NA,NA,NA,NA
"41","N","2","2004",8380.13733006557,NA,NA,NA,NA,NA,NA
"42","N","2","2005",6292.22749375009,NA,NA,NA,NA,NA,NA
"43","N","2","2006",3792.45141631859,NA,NA,NA,NA,NA,NA
"44","N","2","2007",1758.94526366613,NA,NA,NA,NA,NA,NA
"45","N","2","2008",3076.557910069,NA,NA,NA,NA,NA,NA
"46","N","2","2009",3580.73905903958,NA,NA,NA,NA,NA,NA
"47","N","2","2010",2769.25238554593,NA,NA,NA,NA,NA,NA
"48","N","2","2011",2011.77046632609,NA,NA,NA,NA,NA,NA
"49","N","2","2012",1556.71009620341,NA,NA,NA,NA,NA,NA
"50","N","2","2013",1003.66328960376,NA,NA,NA,NA,NA,NA
"51","N","2","2014",655.384488485734,NA,NA,NA,NA,NA,NA
"52","N","2","2015",603.801653398634,NA,NA,NA,NA,NA,NA
"53","N","2","2016",1080.31332981048,NA,NA,NA,NA,NA,NA
"54","N","2","2017",1066.95694369619,NA,NA,NA,NA,NA,NA
"55","N","2","2018",932.670915218872,NA,NA,NA,NA,NA,NA
"56","N","3","1996",446.005314040607,NA,NA,NA,NA,NA,NA
"57","N","3","1997",311.192360219729,NA,NA,NA,NA,NA,NA
"58","N","3","1998",462.746302479976,NA,NA,NA,NA,NA,NA
"59","N","3","1999",1336.28343939741,NA,NA,NA,NA,NA,NA
"60","N","3","2000",1734.2808498831,NA,NA,NA,NA,NA,NA
"61","N","3","2001",707.943999693616,NA,NA,NA,NA,NA,NA
"62","N","3","2002",662.699928734437,NA,NA,NA,NA,NA,NA
"63","N","3","2003",464.462465308695,NA,NA,NA,NA,NA,NA
"64","N","3","2004",1022.45985477421,NA,NA,NA,NA,NA,NA
"65","N","3","2005",1349.7126521618,NA,NA,NA,NA,NA,NA
"66","N","3","2006",413.127844268499,NA,NA,NA,NA,NA,NA
"67","N","3","2007",102.102487045228,NA,NA,NA,NA,NA,NA
"68","N","3","2008",145.126851220521,NA,NA,NA,NA,NA,NA
"69","N","3","2009",256.810472175782,NA,NA,NA,NA,NA,NA
"70","N","3","2010",155.195854948156,NA,NA,NA,NA,NA,NA
"71","N","3","2011",361.156272937705,NA,NA,NA,NA,NA,NA
"72","N","3","2012",109.668430657113,NA,NA,NA,NA,NA,NA
"73","N","3","2014",75.373107741385,NA,NA,NA,NA,NA,NA
"74","N","3","2016",169.936291392166,NA,NA,NA,NA,NA,NA
"75","N","3","2017",27.5822797363096,NA,NA,NA,NA,NA,NA
"76","N","3","2018",176.178227482823,NA,NA,NA,NA,NA,NA
"77","S","1","2000",3.65525328166796,NA,NA,NA,NA,NA,NA
"78","S","1","2001",10.1031368456516,NA,NA,NA,NA,NA,NA
"79","S","1","2002",5.14608827487993,NA,NA,NA,NA,NA,NA
"80","S","1","2003",3.13194178599268,NA,NA,NA,NA,NA,NA
"81","S","1","2004",1.33259420465703,NA,NA,NA,NA,NA,NA
"82","S","2","1990",10445.0313395629,NA,NA,NA,NA,NA,NA
"83","S","2","1991",11775.0409481409,NA,NA,NA,NA,NA,NA
"84","S","2","1992",8773.2383917754,NA,NA,NA,NA,NA,NA
"85","S","2","1993",11681.8362317143,NA,NA,NA,NA,NA,NA
"86","S","2","1994",10508.9880075796,NA,NA,NA,NA,NA,NA
"87","S","2","1995",7350.96063018479,NA,NA,NA,NA,NA,NA
"88","S","2","1996",7607.38247475069,NA,NA,NA,NA,NA,NA
"89","S","2","1997",5828.68779559533,NA,NA,NA,NA,NA,NA
"90","S","2","1998",3955.5093431985,NA,NA,NA,NA,NA,NA
