"","Year","Total.BUM","Total.SWO"
"1",1958,5359,1746
"2",1959,8245,3314
"3",1960,10338,4375
"4",1961,8714,5589
"5",1962,29099,11962
"6",1963,28248,11607
"7",1964,44072,17830
"8",1965,29553,20100
"9",1966,18241,12106
"10",1967,7877,6527
"11",1968,6134,6638
"12",1969,6100,5104
"13",1970,7420,6393
"14",1971,8817,7808
"15",1972,3650,9479
"16",1973,1896,4112
"17",1974,2870,9871
"18",1975,4465,13005
"19",1976,4022,14277
"20",1977,2955,32199
"21",1978,2157,26446
"22",1979,2521,24730
"23",1980,5090,31993
"24",1981,7525,34904
"25",1982,13612,50788
"26",1983,6682,35686
"27",1984,9488,44724
"28",1985,13286,42594
"29",1986,8064,48498
"30",1987,8682,105577
"31",1988,13494,144019
"32",1989,22848,160221
"33",1990,23004,155855
"34",1991,21696,156906
"35",1992,20537,169044
"36",1993,24102,225890
"37",1994,20343,153593
"38",1995,20320,162372
"39",1996,23854,135252
"40",1997,21393,115860
"41",1998,20624,179536
"42",1999,17236,172515
"43",2000,20566,179464
"44",2001,18885,189770
"45",2002,12935,112110
"46",2003,11973,89229
"47",2004,14284,115655
"48",2005,12847,118084
"49",2006,8249,98008
"50",2007,5558,74397
"51",2008,7294,80872
"52",2009,6285,69038
"53",2010,5671,60247
"54",2011,4584,74394
"55",2012,4449,77157
"56",2013,3108,64277
"57",2014,2560,68601
"58",2015,1672,42728
"59",2016,1615,47753
"60",2017,1606,40738
"61",2018,1554,47874
