"","trip","Year","month","gear","light","fleet","bait","hook","hooks","sets","SWO","BUM","lat5","lon5","lat","lon","hbf","habSWO","habBUM","season","area"
"1","10.1989.10.1.35.-65",1989,10,"10","1","1","2","4",1,2,7,0,35,-65,39.5,-68.5,2,3.4739e-08,6.2017e-09,"4","N"
"2","10.1990.4.1.0.-40",1990,4,"10","1","1","2","4",0.5,1,4,0,0,-40,3.5,-40.5,2,3.1846e-08,5.4387e-08,"2","N"
"3","10.1990.7.1.40.-40",1990,7,"10","1","1","2","4",4.5,9,31,0,40,-40,44.5,-42.5,2,3.8024e-08,9.9396e-10,"3","N"
"4","10.1990.8.1.45.-30",1990,8,"10","1","1","2","4",1.15,2,7,0,45,-30,47.5,-33,2,4.29275e-08,4.68385e-10,"3","N"
"5","10.1991.2.1.20.-55",1991,2,"10","1","1","2","4",0.5,1,2,0,20,-55,22.5,-55.5,2,2.4698e-08,6.7876e-08,"1","N"
"6","10.1992.10.1.50.-35",1992,10,"10","1","1","2","4",1.2,2,7,0,50,-35,51.5,-38.5,2,3.0619e-08,5.6354e-12,"4","N"
"7","10.1993.5.1.30.-70",1993,5,"10","1","1","2","4",2.5,5,14,0,30,-70,32.5,-73.5,2,2.5709e-08,2.8516e-08,"2","N"
"8","10.1998.4.1.30.-75",1998,4,"10","1","1","2","4",0.5,1,4,0,30,-75,31.5,-75.5,2,2.4129e-08,2.8864e-08,"2","N"
"9","100.1986.10.1.25.-70",1986,10,"100","3","1","4","4",0.882,3,11,1,25,-70,26.5,-73.5,3,3.1013e-08,9.8548e-08,"4","N"
"10","100.1986.10.1.35.-70",1986,10,"100","3","1","4","4",0.552,2,4,0,35,-70,37.5,-70.5,3,3.3507e-08,2.0995e-08,"4","N"
"11","100.1986.12.1.25.-75",1986,12,"100","3","1","4","4",1.944,6,20,0,25,-75,26.5,-76,3,3.1338e-08,1.0703e-07,"4","N"
"12","100.1986.12.1.25.-90",1986,12,"100","3","1","4","4",2.301,3,23,0,25,-90,27.5,-91.5,3,3.3101e-08,2.8659e-08,"4","N"
"13","100.1987.1.1.25.-65",1987,1,"100","3","1","4","4",0.672,2,2,1,25,-65,27.5,-69.5,3,2.9427e-08,6.0029e-08,"1","N"
"14","100.1987.1.1.25.-80",1987,1,"100","3","1","4","4",9.498,20,0,0,25,-80,28.5,-83.5,3,0,0,"1","N"
"15","100.1987.10.1.35.-65",1987,10,"100","3","1","4","4",11.55,29,124,1,35,-65,38.5,-67.5,3,3.62e-08,1.0491e-08,"4","N"
"16","100.1987.10.1.45.-40",1987,10,"100","3","1","4","4",0.801,1,15,0,45,-40,46.5,-40.5,3,4.3337e-08,1.6334e-09,"4","N"
"17","100.1987.11.1.25.-75",1987,11,"100","3","1","4","4",3,10,34,6,25,-75,27.5,-76.5,3,3.1799e-08,1.0942e-07,"4","N"
"18","100.1987.2.1.25.-65",1987,2,"100","3","1","4","4",1.32,4,16,0,25,-65,27.5,-69.5,3,2.8709e-08,5.5356e-08,"1","N"
"19","100.1987.2.1.40.-65",1987,2,"100","3","1","4","4",0.48,1,11,0,40,-65,40.5,-65.5,3,4.0043e-08,6.8335e-11,"1","N"
"20","100.1987.4.1.40.-65",1987,4,"100","3","1","4","4",1.596,4,9,0,40,-65,40.5,-67.5,3,1.9486e-08,1.91835e-11,"2","N"
"21","100.1987.5.1.25.-75",1987,5,"100","3","1","4","4",4.713,14,50,2,25,-75,25.5,-75.5,3,3.1522e-08,7.3767e-08,"2","N"
"22","100.1987.5.1.35.-70",1987,5,"100","3","1","4","4",1.842,6,17,0,35,-70,36.5,-70.5,3,3.1849e-08,1.2355e-08,"2","N"
"23","100.1987.6.1.45.-35",1987,6,"100","3","1","4","4",2.289,3,17,0,45,-35,46.5,-36.5,3,3.7326e-08,5.1516e-10,"2","N"
"24","100.1987.9.1.25.-70",1987,9,"100","3","1","4","4",5.895,16,51,10,25,-70,28.5,-73.5,3,3.0491e-08,9.8954e-08,"3","N"
"25","100.1988.1.1.20.-85",1988,1,"100","3","1","4","4",3.843,7,41,2,20,-85,24.5,-89.5,3,3.2622e-08,3.8154e-08,"1","N"
"26","100.1988.10.1.20.-85",1988,10,"100","3","1","4","4",1.596,4,22,0,20,-85,24.5,-85.5,3,3.4697e-08,8.5563e-08,"4","N"
"27","100.1988.11.1.30.-75",1988,11,"100","3","1","4","4",1.446,6,20,0,30,-75,31.5,-75.5,3,3.1841e-08,6.0412e-08,"4","N"
"28","100.1988.12.1.25.-65",1988,12,"100","3","1","4","4",0.6,2,1,1,25,-65,27.5,-69.5,3,3.11405e-08,5.85615e-08,"4","N"
"29","100.1988.12.1.25.-85",1988,12,"100","3","1","4","4",8.748,16,84,1,25,-85,27.5,-89,3,3.3645e-08,3.20375e-08,"4","N"
"30","100.1988.2.1.25.-90",1988,2,"100","3","1","4","4",7.2,12,71,2,25,-90,27.5,-91,3,3.27945e-08,1.9305e-08,"1","N"
"31","100.1988.3.1.25.-75",1988,3,"100","3","1","4","4",16.134,45,158,4,25,-75,28.5,-78.5,3,3.1891e-08,6.0587e-08,"1","N"
"32","100.1989.1.1.25.-70",1989,1,"100","3","1","4","4",5.562,21,53,1,25,-70,28.5,-73.5,3,3.0444e-08,5.3951e-08,"1","N"
"33","100.1989.1.1.40.-45",1989,1,"100","3","1","4","4",0.3,1,5,0,40,-45,41.5,-47.5,3,3.7636e-08,2.2571e-10,"1","N"
"34","100.1989.1.1.40.-65",1989,1,"100","3","1","4","4",1.92,4,20,0,40,-65,40.5,-68,3,1.86745e-08,2.10955e-11,"1","N"
"35","100.1989.10.1.35.-65",1989,10,"100","3","1","4","4",3,5,37,0,35,-65,39.5,-66.5,3,3.8428e-08,7.9256e-09,"4","N"
"36","100.1989.10.1.40.-45",1989,10,"100","3","1","4","4",1.398,2,31,0,40,-45,44.5,-46.5,3,5.4146e-08,1.7293e-10,"4","N"
"37","100.1989.11.1.35.-70",1989,11,"100","3","1","4","4",3.792,8,39,0,35,-70,38.5,-70.5,3,3.6542e-08,1.0022e-08,"4","N"
"38","100.1989.3.1.5.-40",1989,3,"100","3","1","4","4",3.15,7,32,3,5,-40,5.5,-41.5,3,3.3969e-08,8.5869e-08,"1","N"
"39","100.1990.10.1.40.-65",1990,10,"100","3","1","4","4",0.549,1,7,0,40,-65,40.5,-67.5,3,4.0519e-08,1.5792e-09,"4","N"
"40","100.1991.2.1.25.-70",1991,2,"100","3","1","4","4",1.62,6,9,0,25,-70,28.5,-72,3,2.8466e-08,5.55395e-08,"1","N"
"41","100.1991.3.1.30.-75",1991,3,"100","3","1","4","4",0.432,2,3,0,30,-75,30.5,-76.5,3,2.9091e-08,4.9379e-08,"1","N"
"42","100.1992.7.1.25.-70",1992,7,"100","3","1","4","4",0.378,1,2,0,25,-70,29.5,-71.5,3,3.0804e-08,5.5798e-08,"3","N"
"43","100.1992.8.1.40.-65",1992,8,"100","3","1","4","4",2.946,7,23,1,40,-65,40.5,-66.5,3,5.7458e-08,4.0553e-09,"3","N"
