"","Year","Total.BUM","Total.SWO"
"1",1990,23004,155855
"2",1991,21696,156906
"3",1992,20537,169044
"4",1993,24102,225890
"5",1994,20343,153593
"6",1995,20320,162372
"7",1996,23854,135252
"8",1997,21393,115860
"9",1998,20624,179536
"10",1999,17236,172515
"11",2000,20566,179464
"12",2001,18885,189770
"13",2002,12935,112110
"14",2003,11973,89229
"15",2004,14284,115655
"16",2005,12847,118084
"17",2006,8249,98008
"18",2007,5558,74397
"19",2008,7294,80872
"20",2009,6285,69038
"21",2010,5671,60247
"22",2011,4584,74394
"23",2012,4449,77157
"24",2013,3108,64277
"25",2014,2560,68601
"26",2015,1672,42728
"27",2016,1615,47753
"28",2017,1606,40738
"29",2018,1554,47874
