"Year","ratioMean","ratioSE","deltaMean","deltaSE"
1990,20338.9286713812,2365.41226554813,21834.4407490727,3256.51671219535
1991,20902.9362746346,2114.21092853597,26186.3025282158,4795.40207222577
1992,20413.9335576418,1807.43620412785,21709.1071527821,2875.44282582682
1993,27314.215436891,2455.94922959497,26133.9621738145,3055.28461086021
1994,22165.9526108104,1655.18402824374,21988.0555974958,2510.53358403537
1995,17102.1211367926,1414.05895182605,18839.078447239,2119.83739919202
1996,22487.1469428221,2416.80869158674,22895.6052235513,2505.23129755472
1997,18809.2493112918,2114.82617918687,20113.437271297,2512.14457240366
1998,19112.7380616154,1942.83131040368,19648.6341952578,2585.69527446993
1999,20251.0843261884,3182.8132635238,20607.9313747052,2803.70353236977
2000,16761.3677773561,2762.82669001313,20519.9371117332,3185.48700772774
2001,17505.4852297482,1813.62456556944,22127.2986005755,2690.55332883361
2002,12478.3966995147,1171.14816181987,13128.1814751091,1411.82532105036
2003,11134.3181468967,1495.67906582738,11594.3645555816,1890.50955037152
2004,16691.2244348811,1833.16590302197,18192.2649150631,3016.61068949124
2005,11466.2337742111,1258.08273784445,11067.8059061001,1671.26807571422
2006,7306.39180190226,957.336233735421,7289.49724093503,1078.42563585773
2007,3642.48048761221,552.113178057484,3139.86416675641,465.376360073724
2008,6175.09267888526,1027.04366598212,6183.73382996037,1010.02762667292
2009,6281.17545999246,1024.90838058932,6333.93374327508,874.421551779904
2010,6271.19631755852,1728.23659910206,5136.33481712401,850.818184951559
2011,4809.26298807281,558.662238750742,5263.10980405274,843.48151744046
2012,3266.38166453769,365.887532595408,3503.35930007478,537.008290742066
2013,2789.23224274143,549.746635236862,2442.18984558985,522.450761200543
2014,1572.3876944423,273.314345372986,1512.24435229533,235.139347871171
2015,1388.61844424814,302.338293019049,1311.04470042332,306.307255511269
2016,2003.72199488968,351.68482289659,2483.33453904519,638.753795492034
2017,2217.14009397444,532.24800170742,1553.51442322381,387.644824519325
2018,2097.8568719135,272.509060363854,1850.49040258717,299.268954058243
