"Year","area","fleet","ratioMean","ratioSE","deltaMean","deltaSE"
1990,"N","1",1557.85632737637,368.385802762709,1468.58274018821,441.812012638207
1990,"N","2",4166.83746348898,1249.7662029702,4754.72228914249,1325.77314191006
1990,"S","2",14302.1949523542,1973.8807288499,15264.0836893207,2937.90128593976
1990,"S","3",312.039928161653,36.6932216745199,347.052030421314,144.10014767401
1991,"N","1",1907.42711711105,472.562354677997,1600.8898851453,446.85640720916
1991,"N","2",4775.5377982408,1464.02124067429,10641.8586541412,4207.08182380059
1991,"S","2",13711.8204804921,1435.18100233208,13072.2501564378,2229.34308860071
1991,"S","3",508.150878790638,208.494529140985,871.303832491449,355.938627853484
1992,"N","1",1738.73818630437,382.210874241428,1559.55654330329,472.972637375469
1992,"N","2",3644.76511826844,503.987051670254,4372.31418334294,1037.13097071289
1992,"S","2",10677.6208716697,1517.03192821549,11545.7173725837,2188.2751028073
1992,"S","3",4352.80938139925,751.898703368486,4231.51905355218,1476.57703927525
1993,"N","1",1952.56134684306,425.527351699399,1915.43855647704,449.222821816625
1993,"N","2",6398.9675927728,1153.01802865078,5506.48688491513,1237.73158457897
1993,"S","2",11677.9621494924,1242.7431404979,11206.3663636823,2189.47174248076
1993,"S","3",7284.72434778277,1725.32663680114,7505.6703687401,1675.46916507952
1994,"N","1",1511.10921812807,399.284666917168,2535.91184291618,958.100542079297
1994,"N","2",4426.90180104877,553.844341756465,5856.46947343388,1199.79391310909
1994,"S","2",12751.6755399894,1389.16344063371,11101.135331361,1880.07521853231
1994,"S","3",3476.2660516441,586.248498871498,2494.5389497848,640.807277240113
1995,"N","1",1615.81199425711,383.493812822564,2114.87065301022,469.795682786856
1995,"N","2",6555.07507573289,775.446916186343,6855.90320476169,1293.66487338549
1995,"S","2",7714.95185653099,1085.88179231417,8298.61075130309,1520.46416703954
1995,"S","3",1216.28221027163,268.399009058976,1569.69383816402,536.304510110866
1996,"N","1",1913.38692164653,475.799236512691,2773.81376099273,761.303656867838
1996,"N","2",11375.2787405717,2079.61968785631,10678.3879600153,1894.45677643987
1996,"N","3",177.869620472532,31.0763679313142,191.211884259505,32.3116285064818
1996,"S","2",7567.53505000477,1036.45776572985,7384.29959229241,1216.23420595767
1996,"S","3",1416.42177910558,463.224913882901,1858.96174396142,791.802167247015
1997,"N","1",1418.21655585401,388.29951959737,1541.47642117316,367.598268122282
1997,"N","2",8575.55305777345,1541.06650999739,8054.13040182737,1532.69887311599
1997,"N","3",178.226788286126,16.121990315755,188.318779975374,18.5773978686393
1997,"S","2",7134.66539546088,1367.33503511735,8455.3401306239,1793.90861888911
1997,"S","3",1502.58751391735,277.420702522258,1874.17153769719,779.822273113205
1998,"N","1",751.601774827748,240.138487080433,1496.30204501721,480.70165612366
1998,"N","2",9242.54485595875,1386.34564322945,10007.0382988482,1926.85510748563
1998,"N","3",227.957855288664,28.8161465660547,209.933455788881,38.0867482319019
1998,"S","2",2753.89358753933,889.17002608307,1992.24296697732,559.963314286751
1998,"S","3",6244.06277656151,1002.17235539689,6032.41581768705,1558.33772065802
1999,"N","1",867.118013606781,219.063992078769,967.910072671133,277.74425551859
1999,"N","2",9088.56257860879,2996.27224162406,10178.153805858,2424.1918295949
1999,"N","3",486.859572224236,153.270060737315,343.004171805799,224.3132630308
1999,"S","2",4005.98286077081,924.260586421821,4111.4763156935,1101.26846530108
1999,"S","3",5802.56130097777,476.355485724071,5007.38700867676,802.369569859397
