"Year","ratioMean","ratioSE","deltaMean","deltaSE"
1990,20338.9286713812,2365.41226554813,21834.4407490727,3256.51671219535
1991,20902.9362746346,2114.21092853597,26186.3025282158,4795.40207222577
1992,20413.9335576418,1807.43620412785,21709.1071527821,2875.44282582682
1993,27314.215436891,2455.94922959497,26133.9621738145,3055.28461086021
1994,22165.9526108104,1655.18402824374,21988.0555974958,2510.53358403537
1995,17102.1211367926,1414.05895182605,18839.078447239,2119.83739919202
1996,22450.4921118011,2416.81416770362,22886.6749415213,2505.14871672214
1997,18809.2493112918,2114.82617918687,20113.437271297,2512.14457240366
1998,19220.060850176,1943.0449997331,19737.9325843187,2585.97576415693
1999,20251.0843261884,3182.8132635238,20607.9313747052,2803.70353236977
2000,16763.325834499,2762.82806239166,20532.6282228443,3185.51228858146
2001,17502.7805951345,1813.59838045132,22106.8915635385,2690.3211469666
2002,12480.2329964899,1171.15046835812,13139.3114751091,1411.86919155386
2003,11136.2864782,1495.68167336427,11606.334925952,1890.54744712021
2004,16692.2728736902,1833.16590916057,18193.5913421223,3016.61070011879
2005,11466.2337742111,1258.08273784445,11067.8059061001,1671.26807571422
2006,7306.39180190226,957.336233735421,7289.49724093503,1078.42563585773
2007,3642.48048761221,552.113178057484,3139.86416675641,465.376360073724
2008,6224.91389783655,1027.05515497381,6220.58036807949,1010.05661667563
2009,6280.01278254768,1024.77892523458,6321.71395546073,874.322886852495
2010,6271.19631755852,1728.23659910206,5136.33481712401,850.818184951559
2011,4703.14530941799,557.808242524273,5237.08511587893,833.119992235834
2012,3319.39732619186,366.237424465411,3543.4160330731,537.252865589391
2013,2789.23224274143,549.746635236862,2442.18984558985,522.450761200543
2014,1579.11194678438,273.362771837914,1502.61603578467,235.339553381521
2015,1388.61844424814,302.338293019049,1311.04470042332,306.307255511269
2016,2003.72199488968,351.68482289659,2483.33453904519,638.753795492034
2017,2203.15552954452,532.158113905286,1536.6521651327,387.508501638291
2018,2097.8568719135,272.509060363854,1850.49040258717,299.268954058243
