"Year","ratioMean","ratioSE","deltaMean","deltaSE"
1990,21405.1439773628,1396.48713748729,21223.4899500427,1887.21490470812
1991,20907.8354706427,1307.02187608934,22051.9161595758,1727.09984563751
1992,19307.0629729584,750.497812181812,19786.7465027098,1069.16278777286
1993,24510.4904206616,893.356736245662,25468.4238490309,1371.29824337575
1994,21473.4160612748,1068.88450824168,22014.4681074945,1835.71127886786
1995,20781.4264187757,852.174001210161,21133.2997382914,1095.21325673453
1996,21760.4899742511,1203.49884240251,22605.2451699033,1541.64571316291
1997,18483.1555390945,1170.29533768407,19082.7633435583,1278.19127228367
1998,20962.2168093215,1265.08582624986,21825.3862233995,1387.20721962889
1999,18038.1853761512,1067.40744634458,20117.1525480833,1446.1655442962
2000,18755.9017060975,1225.20076598845,19981.8415115218,1351.88383833165
2001,17613.5325719255,1140.8255495123,19212.5298396243,1282.68584566155
2002,11961.7427543352,582.773955780671,13602.3598069648,898.291196886624
2003,11134.4379480053,951.611316552941,12513.6154531355,1135.51937702666
2004,14549.4588235996,849.910715222919,15482.8282757083,1374.31638634811
2005,10492.1591338399,672.661833434076,10698.90785609,887.229095681292
2006,8577.6622750908,515.725684957198,8842.9290510227,729.224041026749
2007,5459.42737837679,357.035644438583,5497.76382408793,423.042222299789
2008,5765.97541014442,440.947336887132,6100.67892685114,493.601268394934
2009,4736.65144885518,366.012699876825,4902.39154095198,384.934017775519
2010,4950.42728783331,422.188957369186,5073.603998479,411.03357737645
2011,3965.81925459022,341.107730266022,3894.3673055818,293.166539251701
2012,3575.03741701223,263.960815923419,3266.48032463605,239.577332171614
2013,2509.70823740254,174.123372587144,2419.14995387769,193.10034938053
2014,1942.98187622663,133.735028517358,2011.87108488578,187.823220434922
2015,1463.11704689547,129.989561436728,1496.43659730733,193.800828944027
2016,1624.73497242962,140.881726649445,1641.16301009832,180.337497328466
2017,1788.95222756004,182.75979690508,1693.32592727818,196.861641239137
2018,2070.78738264635,176.971008863397,1967.13642279473,221.445911279584
