"Year","area","fleet","month","season","totalUnits","totalEffort","units","effort","pooled.n","poolnum","pooledTotalUnits","pooledTotalEffort"
1990,"N","1","1","1",117,467.394,8,30.556,8,0,117,467.394
1990,"N","1","2","1",108,411.867,7,32.305,7,0,108,411.867
1990,"N","1","3","1",120,356.642,6,9.981,6,0,120,356.642
1990,"N","1","4","2",113,393.847,8,20.839,8,0,113,393.847
1990,"N","1","5","2",127,410.604,6,9.203,6,0,127,410.604
1990,"N","1","6","2",115,445.674,3,5.857,12,1,389,1655.782
1990,"N","1","7","3",135,521.336,7,32.614,7,0,135,521.336
1990,"N","1","8","3",136,657.105,6,20.102,6,0,136,657.105
1990,"N","1","9","3",144,670.147,6,22.489,6,0,144,670.147
1990,"N","1","10","4",126,500.049,7,26.26,7,0,126,500.049
1990,"N","1","11","4",97,294.867,5,36.547,15,1,301,1139.162
1990,"N","1","12","4",107,313.245,2,1.304,10,1,261,972.398
1990,"N","2","1","1",99,2741.715,6,94.113,6,0,99,2741.715
1990,"N","2","2","1",74,2453.661,4,70.188,12,1,154,5668.461
1990,"N","2","3","1",78,3179.273,10,430.623,10,0,78,3179.273
1990,"N","2","4","2",62,2089.607,3,110.907,6,1,169,5924.315
1990,"N","2","5","2",38,1108.658,3,77.81,7,1,130,4120.646
1990,"N","2","6","2",47,863.159,5,36.349,8,1,163,4226.321
1990,"N","2","7","3",52,2127.907,2,114.264,13,2,297,12656.293
1990,"N","2","8","3",43,1519.708,2,13.22,7,1,139,7068.968
1990,"N","2","9","3",54,2410.3,1,9.24,7,1,177,6813.962
1990,"N","2","10","4",68,2942.218,3,155.985,7,1,174,7090.619
1990,"N","2","11","4",75,2878.765,3,60.088,10,1,260,9495.924
1990,"N","2","12","4",97,3238.36,6,341.482,6,0,97,3238.36
1990,"S","2","1","1",121,6697.571,7,289.632,7,0,121,6697.571
1990,"S","2","2","1",105,6459.529,8,428.698,8,0,105,6459.529
1990,"S","2","3","1",93,5186.619,3,135.829,11,1,277,14668.111
1990,"S","2","4","2",66,3539.022,4,177.384,9,1,200,9273.36
1990,"S","2","5","2",74,4039.201,0,0,11,2,302,14181.46
1990,"S","2","6","2",75,3953.309,4,138.111,13,1,184,10339.916
1990,"S","2","7","3",41,2085.387,3,102.51,9,1,167,8443.153
1990,"S","2","8","3",49,2840.168,0,0,10,2,286,13640.028
1990,"S","2","9","3",62,3472.841,5,279.351,10,1,156,8353.063
1990,"S","2","10","4",60,4521.959,4,271.16,11,1,205,13408.009
1990,"S","2","11","4",70,4068.271,2,136.502,9,1,219,13180.424
1990,"S","2","12","4",71,4715.624,1,100.08,12,1,250,16326.559
1990,"S","3","1","1",8,420.831,0,0,57,3,948,28172.352
1990,"S","3","2","1",10,293.297,1,7.404,55,3,826,28873.801
1990,"S","3","3","1",7,337.296,0,0,54,3,871,24641.104
1990,"S","3","4","2",14,586.107,1,1.488,33,3,720,17793.778
1990,"S","3","5","2",6,582.068,1,187.2,28,3,683,16798.349
1990,"S","3","6","2",12,506.531,0,0,35,3,767,17596.158
1990,"S","3","7","3",6,486.144,1,38.88,31,3,759,16537.543
1990,"S","3","8","3",6,471.435,0,0,26,3,730,17853.445
1990,"S","3","9","3",8,459.498,0,0,33,3,773,19446.723
1990,"S","3","10","4",5,335.352,0,0,40,3,788,24073.604
1990,"S","3","11","4",7,297.59,0,0,36,3,846,26376.351
1990,"S","3","12","4",10,461.04,0,0,40,3,879,29606.649
1991,"N","1","1","1",97,404.733,6,56.4,6,0,97,404.733
1991,"N","1","2","1",99,356,5,6.62,27,1,410,1628.756
1991,"N","1","3","1",119,398.026,13,45.704,13,0,119,398.026
1991,"N","1","4","2",85,295.674,3,17.972,20,1,393,1461.978
1991,"N","1","5","2",118,397.651,5,8.662,24,1,453,1788.522
1991,"N","1","6","2",111,547.113,2,10.736,18,1,511,2324.928
1991,"N","1","7","3",141,701.337,5,14.62,21,1,552,2762.955
1991,"N","1","8","3",132,648.945,4,18.664,21,1,522,2876.356
1991,"N","1","9","3",134,769.653,5,46.226,19,1,516,3199.35
1991,"N","1","10","4",112,630.312,4,17.413,24,1,460,2530.824
1991,"N","1","11","4",110,510.274,6,36.6,6,0,110,510.274
1991,"N","1","12","4",81,347.348,5,32.164,18,1,348,1247.587
1991,"N","2","1","1",74,1793.503,3,120.844,18,1,329,9401.286
1991,"N","2","2","1",39,922.537,3,72.038,17,1,230,10036.968
1991,"N","2","3","1",56,2439.946,3,137.46,16,1,258,12208.943
1991,"N","2","4","2",45,1819.633,2,40.098,9,1,238,7874.428
1991,"N","2","5","2",45,1408.171,3,75.045,7,1,167,5457.556
1991,"N","2","6","2",54,1524.174,0,0,12,1,204,6040.204
1991,"N","2","7","3",28,754.042,0,0,6,1,178,6235.618
1991,"N","2","8","3",54,3030.29,2,41.79,9,1,195,11074.252
1991,"N","2","9","3",62,2703.71,3,85.942,9,1,233,8956.24
1991,"N","2","10","4",73,2822.073,2,56.22,12,1,213,8647.833
1991,"N","2","11","4",124,4448.546,5,140.934,14,1,317,11361.205
1991,"N","2","12","4",123,3750.917,7,182.676,7,0,123,3750.917
1991,"S","2","1","1",109,5772.03,7,653.28,7,0,109,5772.03
1991,"S","2","2","1",106,7380.497,8,340.21,8,0,106,7380.497
1991,"S","2","3","1",102,5012.963,5,169.586,13,1,348,19625.924
1991,"S","2","4","2",90,3796.98,5,161.614,15,1,249,11764.621
1991,"S","2","5","2",63,4155.462,2,89.84,7,1,249,14423.336
1991,"S","2","6","2",68,4239.325,7,565.884,7,0,68,4239.325
1991,"S","2","7","3",82,4295.733,5,205.426,17,1,239,12106.978
1991,"S","2","8","3",55,2041.682,3,86.43,7,1,176,7528.794
1991,"S","2","9","3",54,2383.694,3,290.088,12,1,227,12589.513
1991,"S","2","10","4",72,4391.595,3,40.56,15,1,286,18568.903
1991,"S","2","11","4",77,4266.299,5,218.248,14,1,312,19476.368
1991,"S","2","12","4",80,4993.924,3,124.564,15,1,347,22822.169
1991,"S","3","1","1",11,339.183,1,26.88,69,3,1264,41049.805
1991,"S","3","2","1",7,343.53,0,0,6,1,63,2307.98
1991,"S","3","3","1",6,304.827,0,0,67,3,1150,35389.606
1991,"S","3","4","2",5,358.236,0,0,46,3,935,23183.11
1991,"S","3","5","2",7,403.995,1,80.811,6,1,45,2258.712
1991,"S","3","6","2",6,355.48,1,4.704,50,3,1042,26679.605
1991,"S","3","7","3",17,837.588,0,0,46,3,1028,24170.746
1991,"S","3","8","3",13,734.529,1,52.32,40,3,958,24789.934
1991,"S","3","9","3",15,667.817,0,0,43,3,1043,27887.305
1991,"S","3","10","4",20,597.963,0,0,53,3,1025,32715.105
1991,"S","3","11","4",20,865.245,0,0,51,3,1140,36945.258
1991,"S","3","12","4",23,1166.613,0,0,6,1,131,5662.942
1992,"N","1","1","1",116,416.994,6,32.324,6,0,116,416.994
1992,"N","1","2","1",121,438.328,7,25.067,7,0,121,438.328
1992,"N","1","3","1",139,461.917,9,31.052,9,0,139,461.917
1992,"N","1","4","2",118,429.595,6,28.457,6,0,118,429.595
1992,"N","1","5","2",115,485.063,3,6.454,30,1,571,2368.919
1992,"N","1","6","2",163,662.995,7,23.214,7,0,163,662.995
1992,"N","1","7","3",154,728.631,5,6.606,28,1,695,3559.902
1992,"N","1","8","3",135,712.2,5,17.384,25,1,651,3741.074
1992,"N","1","9","3",125,846.252,4,58.277,27,1,622,4058.71
1992,"N","1","10","4",129,711.007,10,71.528,10,0,129,711.007
1992,"N","1","11","4",94,334.021,4,21.553,26,1,522,2053.637
1992,"N","1","12","4",73,311.805,3,1.501,21,1,473,1800.493
1992,"N","2","1","1",91,2848.711,6,489.689,6,0,91,2848.711
1992,"N","2","2","1",41,2292.263,5,164.396,22,1,277,12513.632
1992,"N","2","3","1",52,1977.502,1,137.856,20,1,327,16777.518
1992,"N","2","4","2",62,2015.075,1,36.549,11,1,311,10951.731
1992,"N","2","5","2",47,1603.817,1,38.64,9,1,202,6963.527
1992,"N","2","6","2",62,1838.988,3,50.901,17,1,246,8128.372
1992,"N","2","7","3",50,1331.191,2,38.762,10,1,223,7923.026
1992,"N","2","8","3",42,2518.97,3,273.308,10,1,245,13996.22
1992,"N","2","9","3",61,1699.952,3,26.169,13,1,303,11271.788
1992,"N","2","10","4",33,1326.328,2,28.371,19,1,298,12671.275
1992,"N","2","11","4",61,2168.613,2,73.446,20,1,372,14238.919
1992,"N","2","12","4",76,1978.078,2,59.916,19,1,439,13458.782
1992,"S","2","1","1",86,5477.188,7,470.928,7,0,86,5477.188
1992,"S","2","2","1",98,7056.258,5,297.124,30,1,512,35483.312
1992,"S","2","3","1",82,4468.529,3,33.069,17,1,414,23740.489
1992,"S","2","4","2",44,1937.358,0,0,20,1,320,15804.002
1992,"S","2","5","2",35,1866.151,2,145.56,11,1,325,18310.279
1992,"S","2","6","2",41,2147.282,2,132.096,24,1,344,19528.957
1992,"S","2","7","3",44,2062.033,1,19,21,1,305,15917.646
1992,"S","2","8","3",43,1689.21,0,0,13,1,240,10270.959
1992,"S","2","9","3",40,2496.528,2,11.322,15,1,313,17246.169
1992,"S","2","10","4",73,4494.455,4,352.81,22,1,378,23604.266
1992,"S","2","11","4",72,4845.854,2,60.12,20,1,407,25526.88
1992,"S","2","12","4",99,6617.011,8,634.866,8,0,99,6617.011
1992,"S","3","1","1",19,792.499,0,0,81,3,1584,51872.305
1992,"S","3","2","1",18,466.034,2,72.804,8,1,83,2955.477
1992,"S","3","3","1",17,517.564,1,19.84,79,3,1405,44875.957
1992,"S","3","4","2",16,532.644,0,0,56,3,1207,31057.327
1992,"S","3","5","2",8,337.508,1,52.812,7,1,55,2678.87
