"Year","Total","TotalVar","Total.mean","TotalLCI","TotalUCI","Total.se","Total.cv"
"2001",12921.636487707,3139177.78493234,12821.4682814125,9278.61851532898,15743.1298538283,1771.77249807427,0.13818795626105
"2002",10025.5245056188,2657808.53512958,9940.38428840562,7129.55022163101,13642.7102926061,1630.27866793674,0.164005597835718
"2003",9474.16893598941,1671681.63032692,9525.02614746883,7363.26193345455,12331.6923425684,1292.93527692879,0.135740863795148
"2004",14050.5277256176,2792719.08416244,14173.0847746754,11534.8453061778,17993.3907723062,1671.1430471873,0.11790962050642
"2005",8352.54947108199,1393646.34947517,8267.14617950912,6515.68990719294,10709.8901324188,1180.52799605734,0.142797522920713
"2006",5862.50124240352,898522.592970991,5980.86174677093,4404.08003230857,8006.26280339493,947.904316358455,0.158489588372483
"2007",2761.49661955841,253234.820238357,2747.91122285828,1749.32619374989,3829.20305746154,503.22442333253,0.18312979660569
"2008",5250.28883763274,588872.096503963,5310.00062842823,4027.12764735494,6869.44259538187,767.380020917904,0.14451599436911
"2009",6194.63378656065,877490.533538152,6189.65725855787,4627.37846356751,8109.80278614559,936.744646922603,0.151340309776838
"2010",4705.64506488412,663706.813764922,4757.19402908748,3408.3494051844,6307.21007033768,814.682032307649,0.171252639124312
"2011",4233.36828798669,526887.644223651,4239.22836411064,2974.82258088206,5747.71403059144,725.870266799551,0.171226979170261
"2012",2901.81713699424,252090.657869248,2983.23050462606,2250.15151746292,3968.08193136877,502.086305199861,0.168302886559145
"2013",1967.44797704547,325169.158693199,2029.48194685788,1149.50377380079,3263.19112050228,570.236055237828,0.280976165430143
"2014",1134.25580812654,81703.4436151835,1160.60012388789,674.57811562354,1738.89271218097,285.838142337903,0.246284776689817
"2015",934.949304659586,93969.326527267,965.498084660436,549.01561921877,1701.49749639666,306.544167335259,0.317498472762967
