"Year","Total","TotalVar","Total.mean","TotalLCI","TotalUCI","Total.se","Total.cv"
"2001",13563.7419969139,3946103.3289746,13236.9346450878,9860.35833153827,17170.7758608435,1986.48013556003,0.150071008796376
"2002",10906.3981449056,2738656.2914003,10451.8736260832,7911.32725373601,13713.8660476406,1654.88860392484,0.158334157408388
"2003",8595.24480141198,1427178.76601862,8581.13696442918,5936.60405659741,10889.1023292778,1194.64587473386,0.139217667738662
"2004",13171.0606001234,3132905.72732389,13188.918882447,10158.0800655311,16648.9514039504,1770.00161788737,0.134203692786604
"2005",8833.72037297704,2250783.54008095,8901.55580098685,6405.81986724521,12111.5503496075,1500.26115729261,0.168539207171659
"2006",5913.40134511965,890226.829988727,5943.01057480725,4385.73453335287,7805.68191118027,943.518325200273,0.158761003926175
"2007",2912.09492554929,281970.979148963,2964.27539943919,2029.1290568931,4020.17610303005,531.009396478973,0.179136323358968
"2008",5218.64589143959,858827.863018665,5113.46565264491,3461.55813024062,6946.11783508835,926.729660159134,0.181233183737098
"2009",6290.28995807268,864478.960248193,6271.16792885509,4496.7481879171,8245.7575642678,929.773606986235,0.148261634441032
"2010",5512.44994138889,1036739.27283668,5655.86335664667,3704.06669509982,7481.49144101757,1018.2039446185,0.180026263085357
"2011",4383.81637212929,728238.507448985,4312.79845400839,2815.54972833545,6074.00234576968,853.368916383169,0.197868953414698
"2012",3200.22994912657,359286.943543483,3201.88314990253,2330.78051965351,4423.49613037834,599.405491752856,0.18720404952039
"2013",2168.05048448677,332140.994213665,2212.45083644078,1320.67907728056,3739.56963777975,576.316748163425,0.260487934317473
"2014",1445.42162972574,169235.514678672,1437.99722488167,782.455133861831,2377.35201622423,411.38244332819,0.286080137158848
"2015",1255.86563061686,134576.897334412,1273.05707077088,642.868108512524,1966.58002188147,366.847239780282,0.288162446290128
