"X.Intercept.","area","fleet","season","Year","area.season","offset.log.Effort..","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight","R2"
-3.98049429714568,"+","+",NA,-0.0928010750355749,NA,"+",513.36147967661,513.058230579137,534.952076008104,6,-250.529115289568,534.952076008104,0,0.995624139106983,0.141880205112777
-3.60154260136963,"+","+","+",-0.150889634063503,NA,"+",513.806828032409,513.14989372584,545.990661869291,9,-247.57494686292,545.990661869291,11.0385858611869,0.00399113992423053,0.184042529670861
-3.10202931834999,"+",NA,NA,-0.138912818608939,NA,"+",536.660874805121,536.517505629494,551.113402582139,4,-264.258752814747,551.113402582139,16.1613265740345,0.000308111523879607,0.0593414881910742
-3.37924002360298,NA,NA,NA,-0.158032192365486,NA,"+",544.549967637317,544.464253351603,555.411176066086,3,-269.232126675801,555.411176066086,20.4591000579823,3.59300885622971e-05,0.00618317294465262
-3.92340160959907,"+","+","+",-0.187474235524357,"+","+",512.892085765284,511.740794252369,555.528485110303,12,-243.870397126184,555.528485110303,20.5764091021992,3.38832415931206e-05,0.232278157622532
-3.94917619507047,NA,"+",NA,-0.152495365367496,NA,"+",541.762529903824,541.546702565695,559.791573756501,5,-265.773351282847,559.791573756501,24.8394977483969,4.02037917680712e-06,0.0619032988147011
-2.75069688657505,"+",NA,"+",-0.20275757949163,NA,"+",535.636932921177,535.231135819727,560.773955486856,7,-260.615567909864,560.773955486856,25.8218794787518,2.4600590546076e-06,0.0955216932427681
-3.0198363127752,NA,NA,"+",-0.219905624659619,NA,"+",543.4760831376,543.172834040127,565.066679469094,6,-265.586417020064,565.066679469094,30.1146034609902,2.87602305873947e-07,0.0468884608703641
-3.53364164890812,NA,"+","+",-0.205520553680894,NA,"+",541.18789849905,540.664262135414,569.856056040703,8,-262.332131067707,569.856056040703,34.9039800325993,2.62296475701547e-08,0.106503205245189
-2.86666773880114,"+",NA,"+",-0.227529634163231,"+","+",539.481466693183,538.675605887323,575.165348268935,10,-259.337802943661,575.165348268935,40.2132722608305,1.84456641330786e-09,0.120313431578308
