"cond..Int..","disp..Int..","cond.area.","cond.fleet.","cond.season.","cond.Year.","cond.area.season.","cond.offset.log.Effort...","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight","R2"
-3.45589916808863,"+","+","+",NA,-0.291122852186406,NA,"+",513.949637227523,513.646388130051,535.540233559018,6,-250.823194065025,535.540233559018,0,0.976587563233029,0.136558812085904
-2.76840644223125,"+","+",NA,NA,-0.229042693628912,NA,"+",529.431753337943,529.288384162316,543.884281114961,4,-260.644192081158,543.884281114961,8.34404755594289,0.0150599761516492,0.0660269209981335
-3.21095374616146,"+","+","+","+",-0.336553132355942,NA,"+",513.090180976285,512.433246669716,545.274014813167,9,-247.216623334858,545.274014813167,9.73378125414899,0.00751705011988696,0.151805927779942
-2.53973487449149,"+","+",NA,"+",-0.276516234985165,NA,"+",524.574166309413,524.168369207964,549.711188875092,7,-255.084184603982,549.711188875092,14.1709553160746,0.000817574506224438,0.0888074268535725
-3.39417593803542,"+","+","+","+",-0.316794181133798,"+","+",515.349433688157,514.198142175242,557.985833033177,12,-245.099071087621,557.985833033177,22.4455994741587,1.30530256659073e-05,0.17232157984848
-3.17510093174044,"+",NA,NA,NA,-0.190510667129025,NA,"+",549.782682274584,549.696967988869,560.643890703353,3,-271.848483994435,560.643890703353,25.1036571443353,3.45558279149346e-06,0.00496018050842441
-2.67286996798172,"+","+",NA,"+",-0.259217384447567,"+","+",527.55101078871,526.745149982849,563.234892364461,10,-253.372574991424,563.234892364461,27.6946588054432,9.46002840820432e-07,0.101841284730748
-2.83141360882943,"+",NA,NA,"+",-0.245389228809216,NA,"+",544.125339280779,543.822090183306,565.715935612273,6,-265.911045091653,565.715935612273,30.1757020532556,2.73615530626354e-07,0.0253134959962259
-3.33739169660192,"+",NA,"+",NA,-0.156634556600935,NA,"+",549.652350242441,549.436522904312,567.681394095118,5,-269.718261452156,567.681394095118,32.1411605361002,1.02411059192469e-07,0.0165501088823222
-2.92876736511645,"+",NA,"+","+",-0.219810506187664,NA,"+",544.916538526763,544.392902163127,573.584696068416,8,-264.196451081563,573.584696068416,38.0444625093984,5.35132246483942e-09,0.0358937707697181
